commitment,commitment_key,cost_type,on_demand_cost,amortized_cost,savings_dollars,effective_savings_rate
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-12-21-18-03-25-155,AWS#AmazonRDS-Database Instance#eu-west-3#t3#CreateDBInstance:0002#unknown-tenancy,Usage with Discount,135.3011737519992,95.42293310000159,39.8782406519976,0.29473684186282506
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,89.42937724449993,52.21257401519997,37.21680322929996,0.41615858654085464
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,63.690696658800015,37.2428649954,26.447831663400017,0.41525423728813576
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-central-1#t3#RunInstances#shared,Usage with Discount,62.12827414940011,36.547411463599936,25.580862685800177,0.41174268939590647
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-central-1#t4g#RunInstances#shared,Usage with Discount,60.40932383409978,35.41778900879986,24.991534825299922,0.41370327027551884
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,58.6509887508,34.241675631899994,24.40931311890001,0.4161790557804887
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-central-1#t3#RunInstances#shared,Usage with Discount,58.781026264300145,34.56469519759989,24.216331066700256,0.4119753023333605
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,56.289127371300005,32.165215640599996,24.12391173070001,0.42857142857396663
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-central-1#t2#RunInstances#shared,Usage with Discount,55.560062987600084,32.6519026885,22.908160299100082,0.41231343283776933
arn:aws:rds:eu-west-3:527480136527:ri:ri-2025-05-16-02-02-53-030,AWS#AmazonRDS-Database Instance#eu-west-3#t3#CreateDBInstance:0002#unknown-tenancy,Usage with Discount,69.76800000000033,49.20479999999968,20.56320000000065,0.29473684210527107
arn:aws:savingsplans::662505700522:savingsplan/ed57fe40-deab-c41e-ba1c-28fe6a8746ef,AWS#Compute-EC2#eu-west-3#m6a#RunInstances#shared,Usage with Discount,83.82029876780027,63.56847040510015,20.251828362700117,0.24161007131222367
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,43.89240047129999,25.665895192799994,18.2265052785,0.41525423724359295
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,AWS#Compute-EC2#eu-west-3#t3#RunInstances#shared,Usage with Discount,38.41269111,22.461658361599994,15.951032748400003,0.4152542372707509
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-central-1#t2#RunInstances#shared,Usage with Discount,37.64968211400001,22.12621243689999,15.523469677100017,0.41231343282252114
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,AWS#Compute-EC2#eu-central-1#m5a#RunInstances#shared,Usage with Discount,38.78710214130007,23.356175690600004,15.430926450700063,0.3978365384061365
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-west-3#t2#RunInstances#shared,Usage with Discount,36.74133430440001,21.467237941100024,15.27409636329999,0.41571969697003675
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,35.219189448199955,20.06041460959998,15.158774838599975,0.43041237109943586
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,35.117018590899995,19.995976392799996,15.1210421981,0.4305901470239951
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,AWS#Compute-EC2#eu-central-1#m5#RunInstances#shared,Usage with Discount,35.331706747500064,21.352640170499996,13.979066577000069,0.39565217375153194
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute-EC2#eu-central-1#t2#RunInstances#shared,Usage with Discount,28.944000000000013,17.009999999999998,11.934000000000015,0.4123134328358212
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute-EC2#eu-west-3#t2#RunInstances#shared,Usage with Discount,24.963810643199984,14.585862847400014,10.37794779579997,0.4157196969696961
arn:aws:savingsplans::527480136527:savingsplan/450993cf-80c3-57bf-f7ca-4a2a5b89a6c1,AWS#Compute-EC2#eu-west-3#t3a.large#RunInstances:0002#shared,Usage with Discount,33.61117070119997,24.208400900799973,9.402769800399994,0.2797513327931866
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-central-1#t4g#RunInstances#shared,Usage with Discount,22.299454167399993,13.041514930899954,9.25793923650004,0.4151643877469611
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-west-3#c5a#RunInstances#shared,Usage with Discount,18.3378995184,10.201716078099999,8.136183440300002,0.44368131868844984
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,19.042057657000008,11.11632485049998,7.925732806500028,0.41622249807580364
