commitment_per_hour,total_savings_dollars,total_unused_commitment_waste,total_consumed_commitment,total_paid_commitment,total_eligible_on_demand_cost,total_covered_on_demand_cost,effective_savings_rate,coverage_rate,average_utilization
20.63636021688751,35884.02368147318,0.0,45565.0833588853,45565.08335888763,95350.76545173008,81449.10704036057,0.37633702793543844,0.854205067515614,0.9999999999999489
20.71608241149489,36001.35770313313,0.0,45741.10996458225,45741.10996458072,95350.76545173008,81742.4676677139,0.3775675793746856,0.8572817143150762,1.0000000000000333
20.788515687835208,36107.95450200841,0.0,45901.04263873949,45901.04263874014,95350.76545173008,82008.99714074862,0.3786855231937024,0.8600769668940357,0.9999999999999859
20.859186219745432,36211.9468016601,0.0,46057.08317319723,46057.08317319791,95350.76545173008,82269.0299748579,0.37977615208544774,0.8628040853694602,0.9999999999999851
20.927424605224985,36312.34001913968,0.0,46207.75352833623,46207.75352833677,95350.76545173008,82520.09354747635,0.3808290352689645,0.8654371378827675,0.9999999999999883
20.99864402663877,36417.069419560234,0.0,46365.00601081798,46365.00601081841,95350.76545173008,82782.07543037886,0.3819273945734168,0.8681846971882576,0.9999999999999908
21.068139815130117,36519.16193615313,0.0,46518.45271180739,46518.452711807295,95350.76545173008,83037.61464796045,0.38299809931405754,0.8708646884433981,1.000000000000002
21.119133219663727,36594.00049302499,0.0,46631.046149016685,46631.04614901751,95350.76545173008,83225.04664204245,0.38378297562330704,0.872830398872612,0.9999999999999823
21.19704556477517,36708.182200610805,0.0,46803.07660702359,46803.07660702358,95350.76545173008,83511.25880763472,0.3849804668762075,0.8758320755160698,1.0000000000000002
21.273347934411966,36819.7121331502,0.0,46971.55223918105,46971.55223918162,95350.76545173008,83791.26437233177,0.38615014739225806,0.8787686598567461,0.9999999999999879
21.33811539250374,36914.02086127653,0.0,47114.55878664599,47114.55878664826,95350.76545173008,84028.57964792462,0.38713921892912023,0.8812575258293321,0.9999999999999518
21.43251407168621,37050.77175108866,0.0,47322.991070281154,47322.991070283155,95350.76545173008,84373.762821372,0.38857340657474915,0.8848776663894217,0.9999999999999577
21.50643698548525,37156.94492803377,0.0,47486.21286395253,47486.212863951434,95350.76545173008,84643.15779198534,0.3896869076194666,0.8877029711401183,1.000000000000023
21.578207390653464,37258.756526398625,0.0,47644.681918561124,47644.68191856285,95350.76545173008,84903.4384449617,0.39075466620412524,0.8904326886389058,0.9999999999999638
21.649732655672018,37358.52527301563,0.06506005969013628,47802.54464366284,47802.609703723814,95350.76545173008,85161.13497673968,0.39180100019152786,0.8931353049268518,0.9999986389851647
21.718529988548998,37452.652435551696,0.1428215586655206,47954.37139315597,47954.51421471619,95350.76545173008,85407.16665026764,0.39278816754241525,0.895715584931552,0.9999970217285575
21.794092782962505,37553.81345606562,0.38109444902155687,48120.9757703317,48121.35686478121,95350.76545173008,85675.17032084709,0.39384910313149696,0.8985262982940486,0.9999920805547818
21.860368619711625,37640.29740006369,0.7874821767663107,48266.9064301458,48267.693912323266,95350.76545173008,85907.99131238704,0.3947561115187747,0.9009680300456181,0.9999836851087417
21.924059594558926,37721.24508584814,1.3083415853050262,48407.015243201684,48408.32358478611,95350.76545173008,86129.56867063434,0.39560505788434347,0.9032918431497664,0.9999729727970825
21.988133648020934,37800.447307981514,2.096392149219394,48547.7027026789,48549.799094830225,95350.76545173008,86350.24640281194,0.39643569853791505,0.9056062213420351,0.9999568197564066
22.04772131923662,37872.04839217489,3.0229669114136755,48678.345705961205,48681.36867287445,95350.76545173008,86553.41706504911,0.39718662155205303,0.9077369925138724,0.9999379030007648
22.10753662196723,37941.69754905302,4.491153908973821,48808.94970739352,48813.44086130364,95350.76545173008,86755.13841035668,0.39791707354735856,0.9098525638399325,0.9999079934986987
22.16178458352527,38002.56279872138,6.567452260348819,48926.65290816447,48933.2203604238,95350.76545173008,86935.78315914545,0.39855540350076807,0.9117470924043646,0.9998657874505099
22.21519000193223,38060.224796428345,9.341791558005262,49041.797732706444,49051.13952426636,95350.76545173008,87111.36432069451,0.3991601390520118,0.9135885161277846,0.9998095499584614
22.257149142119708,38103.81461075149,12.23380591918998,49131.55149987975,49143.78530580032,95350.76545173008,87247.59991655174,0.39961729127430007,0.9150172995802488,0.9997510609765927
22.308133175767964,38154.69128370978,16.75983711609923,49239.59821498129,49256.35805209566,95350.76545173008,87411.04933580563,0.4001508651026512,0.9167314905306784,0.9996597426651673
22.35942451084994,38203.64965915474,22.40898550696631,49347.20033444852,49369.60931995667,95350.76545173008,87573.25897911153,0.40066432060783796,0.9184326792158182,0.9995460975726399
22.402673559411426,38243.45358392482,27.73034456045837,49437.37287461887,49465.103219180426,95350.76545173008,87708.55680310506,0.40108176796215655,0.9198516276988487,0.9994393958011433
22.44771758174226,38283.293736967884,33.95660199283793,49530.60381849494,49564.56042048691,95350.76545173008,87847.85415745465,0.4014995952638496,0.9213125216275934,0.9993149015808092
